Países,total casos,total muertes,total recuperados
Comoros,"8,471",161,"8,305"
Liberia,"7,961",294,"7,636"
Sierra Leone,"7,751",126,N/A
Chad,"7,583",193,"4,874"
British Virgin Islands,"7,305",64,N/A
St. Vincent Grenadines,"7,112",115,"6,641"
Saint Kitts and Nevis,"6,541",46,"6,482"
Cook Islands,"6,389",1,"6,384"
Turks and Caicos,"6,380",36,"6,321"
Sao Tome and Principe,"6,230",77,"6,132"
Palau,"5,460",6,"5,444"
St. Barth,"5,285",6,N/A
Nauru,"4,611",1,"4,605"
Anguilla,"3,865",12,"3,848"
Kiribati,"3,430",13,"2,703"
Saint Pierre Miquelon,"3,188",1,"2,449"
Falkland Islands,"1,886",,"1,886"
Montserrat,"1,396",8,"1,353"
Saint Helena,"1,355",,2
Macao,793,6,787
Wallis and Futuna,761,7,438
Diamond Princess,712,13,699
Niue,80,,80
Vatican City,29,,29
Tuvalu,20,,
Western Sahara,10,1,9
MS Zaandam,9,2,7
